"Player,Nation,Pos,Squad,League,Age,Min,Gls_90,Ast_90,GA_90,Sh_90,SoT_90,SoT_pct,G_per_Sh,Salah_Score,Salah_Euclidean,KDB_Score,KDB_Euclidean,Outlier_Count,Is_Outlier,PC1,PC2,Cluster,Cluster_Label,Salah_Cosine,KDB_Cosine,Salah_Euc_Sim,KDB_Euc_Sim,Market_Value_M,Salah_VES,Arbitrage_M,Goals_Season,Cost_per_Goal_M,ROI_vs_Europe_pct,Sim_norm,VES_norm,Perf_norm,Decision_Score,Salah_Rank,Recommendation,Reason"
"Rodrigo Mora,pt POR,FW,Porto,Primeira Liga,17.0,1370,0.6569,0.2628,0.9197,2.8905,1.1168,38.64,0.2273,0.7013,1.938090191063612,0.5116,4.741343527186626,2,True,5.340568880060086,0.7503247069956281,3,Elite Attacker,0.9419167499874928,0.7365581055173325,0.3403571486816721,0.1741752597218338,2.5,0.2805,12.5,25.0,0.1,87.2,1.0,0.32171684817424734,0.725433940611103,0.7416,1,STRONG BUY,High similarity + affordable + efficient"
"Jakob Breum,dk DEN,MF,Go Ahead Eagles,Eredivisie,20.0,2059,0.4371,0.2186,0.6557,2.5352,0.9616,37.93,0.1724,0.688,2.45000084848513,0.5436,4.682348627602725,0,False,3.391341910639078,0.6398393422077229,3,Elite Attacker,0.9534208644640464,0.7887142720064022,0.2898550011774903,0.1759835704452159,1.2,0.5733,13.8,16.6,0.072,90.8,0.8709990300678951,0.6968609865470853,0.34672213455745216,0.7139,2,STRONG BUY,High similarity + affordable + efficient"
"Andre Brooks,jm JAM,MF,Sheffield United,EFL Championship,20.0,951,0.2839,0.1893,0.4732,1.9874,0.8517,42.86,0.1429,0.6479,3.61768558739744,0.5567,5.285465310642631,0,False,2.098794379271444,0.2863751105100886,2,Creative Playmaker,0.93540659433702,0.8217150484428688,0.2165587026386539,0.1590972108790079,0.8,0.8099,14.2,10.8,0.074,90.5,0.48205625606207647,1.0,0.08492325347869745,0.558,3,BUY,Good match — strong acquisition candidate"
"André Lacximicant,pt POR,FW,Estoril,Primeira Liga,23.0,993,0.4532,0.2719,0.7251,2.9909,1.3595,45.45,0.1515,0.6671,2.337755294357837,0.5856,3.939496675531023,0,False,4.502883851925364,1.1770176340793652,3,Elite Attacker,0.9120310247474958,0.8409569246815323,0.2996025507593101,0.2024497769081896,1.8,0.3706,13.2,17.2,0.105,86.6,0.6682832201745885,0.437155669442665,0.4462774350882226,0.5545,4,STRONG BUY,High similarity + affordable + efficient"
"Ismaël Gharbi,tn TUN,MF,Braga,Primeira Liga,20.0,1058,0.3403,0.2552,0.5955,2.4669,0.7656,31.03,0.1379,0.6753,2.9112404691011933,0.6099,4.500160042926823,0,False,2.43578736309234,1.3789169694853978,2,Creative Playmaker,0.9551215140393527,0.8952492814162462,0.2556733619167632,0.1818128912968623,2.0,0.3376,13.0,12.9,0.155,80.2,0.747817652764307,0.39487508007687383,0.2603643666618849,0.5444,5,STRONG BUY,High similarity + affordable + efficient"
"Marcos Vinicios Sorriso,br BRA,MF,Famalicão,Primeira Liga,23.0,2020,0.3564,0.1782,0.5347,2.3168,0.9356,40.38,0.1538,0.6495,3.272265774029649,0.5246,5.186268636459882,0,False,2.648366418106191,0.2697780825498498,2,Creative Playmaker,0.926430520564007,0.7665004952211547,0.2340678349363993,0.1616483309674463,1.2,0.5412,13.8,13.5,0.089,88.6,0.4975751697381181,0.6557335041639976,0.17314589011619552,0.4801,6,BUY,Good match — strong acquisition candidate"
"Sontje Hansen,cw CUW,FW,NEC Nijmegen,Eredivisie,22.0,1872,0.2885,0.1923,0.4808,1.7788,0.7212,40.54,0.1622,0.6659,3.572341825158746,0.5342,5.42278494218499,0,False,1.9145555510296948,0.1948395707319273,2,Creative Playmaker,0.9640208326328044,0.7865258152622726,0.2187063081105667,0.1556957003856658,2.2,0.3027,12.8,11.0,0.2,74.4,0.6566440349175569,0.35016015374759774,0.09582556304690859,0.4525,7,STRONG BUY,High similarity + affordable + efficient"
"Sem Steijn,nl NED,MF,Twente,Eredivisie,22.0,2762,0.782,0.2281,1.0101,3.0304,1.4012,46.24,0.2581,0.64,3.0387617786640764,0.4608,5.638912931589097,2,True,6.585076649138632,0.0557454657435197,3,Elite Attacker,0.9016105113090596,0.667660345094531,0.2476006397016997,0.1506270695676436,3.5,0.1829,11.5,29.7,0.118,84.9,0.4054316197866159,0.19666880204996798,0.8551140438961411,0.4327,8,BUY,Good match — strong acquisition candidate"
"Kenneth Taylor,nl NED,FW,Ajax,Eredivisie,22.0,2447,0.331,0.2207,0.5517,1.7654,0.7724,43.75,0.1875,0.6748,2.97065071476387,0.5277,5.079983892386879,0,False,2.529894858005328,0.1894562380599253,2,Creative Playmaker,0.9568138647450138,0.769834181158759,0.2518478888817267,0.1644741199482718,14.0,0.0482,1.0,12.6,1.111,-42.1,0.7429679922405432,0.02408712363869315,0.1975326352029837,0.4182,9,MONITOR,Developing profile — track for next window"
"Filip Krastev,bg BUL,FW,Zwolle,Eredivisie,22.0,2174,0.2484,0.1656,0.414,1.9043,0.7452,39.13,0.1304,0.6467,4.149515410225009,0.5599,5.713551461284874,0,False,1.4791247784347277,0.2376296362521713,2,Creative Playmaker,0.948363945970888,0.8338357062910605,0.1941930298944973,0.1489524591815097,1.3,0.4975,13.7,9.4,0.138,82.4,0.4704170708050448,0.5997437540038437,0.0,0.4151,10,BUY,Good match — strong acquisition candidate"
"Henrique Araújo,pt POR,FW,Arouca,Primeira Liga,22.0,1107,0.4878,0.1626,0.6504,2.1138,0.9756,46.15,0.2308,0.6315,2.8342013666389447,0.4189,5.57813792858603,0,False,3.743529461207696,-0.6039961290117424,3,Elite Attacker,0.8787041875627658,0.596817502301737,0.2608105063810455,0.1520187035991429,1.8,0.3508,13.2,18.5,0.097,87.6,0.3229873908826386,0.4117873158231903,0.33911920814804175,0.3529,11,BUY,Good match — strong acquisition candidate"
"Ismael Saibari,ma MAR,MF,PSV,Eredivisie,23.0,1782,0.5556,0.5556,1.1111,4.2424,1.8687,44.05,0.131,0.624,4.124352146543421,0.6634,3.057596515541778,5,True,7.332794007039237,4.270920605205341,3,Elite Attacker,0.9098566583921164,0.9412988137590548,0.1951466197877403,0.2464513157406627,7.0,0.0891,8.0,21.1,0.332,57.5,0.2502424830261889,0.07648942985265855,0.9999999999999998,0.3481,12,PASS,Does not meet acquisition criteria"
"Karamoko Dembélé,eng ENG,MF,QPR,EFL Championship,21.0,1186,0.2277,0.3035,0.5312,1.6695,0.6071,36.36,0.1364,0.6424,3.307475308161844,0.6332,4.52628189547893,0,False,1.675033022974186,1.4708601802372652,2,Creative Playmaker,0.9158776258521376,0.9347603365284598,0.2321545519031045,0.1809534907761588,2.8,0.2294,12.2,8.7,0.322,58.8,0.42870999030067924,0.25624599615631005,0.168125089657151,0.3249,13,BUY,Good match — strong acquisition candidate"
"Telmo Arcanjo,cv CPV,FW,Vitória Guimarães,Primeira Liga,23.0,1320,0.3409,0.1364,0.4773,2.0455,0.75,36.67,0.1667,0.6184,3.8283366202569926,0.4292,5.878941770326644,0,False,1.9947261277736523,-0.1646329519691506,2,Creative Playmaker,0.8925355575287659,0.6183766289820182,0.2071106632881727,0.1453711971096559,1.2,0.5153,13.8,13.0,0.092,88.2,0.19592628516003874,0.6225496476617554,0.09080476258786396,0.3029,14,BUY,Good match — strong acquisition candidate"
"Eliezer Mayenda,es ESP,FW,Sunderland,EFL Championship,19.0,2155,0.3341,0.2088,0.5429,2.297,1.1276,49.09,0.1455,0.6204,3.190711069242563,0.5428,4.827782676320407,0,False,3.0997702547292736,0.3540895314817084,2,Creative Playmaker,0.8749562716675587,0.7902306831376775,0.2386229886711664,0.1715918481420429,1.5,0.4136,13.5,12.7,0.118,84.9,0.2153249272550921,0.49224855861627165,0.18490890833452878,0.2923,15,BUY,Good match — strong acquisition candidate"
"Yanis Begraoui,ma MAR,FW,Estoril,Primeira Liga,23.0,1913,0.5175,0.1411,0.6587,2.1641,1.035,47.83,0.2391,0.6047,3.049946159554064,0.3869,5.83131415797364,1,True,3.9794496240363313,-0.8890380647086542,3,Elite Attacker,0.8431588459534126,0.547322900969454,0.2469168627441973,0.1463847184999947,1.3,0.4652,13.7,19.7,0.066,91.6,0.06304558680892391,0.5583600256245997,0.3510256778080618,0.2692,16,BUY,Good match — strong acquisition candidate"
"Nicolás González,es ESP,MF,Porto,Primeira Liga,22.0,1441,0.3123,0.1874,0.4997,1.6863,0.5621,33.33,0.1852,0.6395,3.633755122315233,0.4608,5.697733438907226,0,False,1.6880417258774243,0.1767053439001424,2,Creative Playmaker,0.9220365074635868,0.6684986207603307,0.2158076923798154,0.1493042398777751,4.5,0.1421,10.5,11.9,0.378,51.7,0.40058195926285123,0.14439461883408072,0.12293788552574947,0.2682,17,BUY,Good match — strong acquisition candidate"
"Orkun Kökçü,tr TUR,MF,Benfica,Primeira Liga,23.0,2633,0.2393,0.2393,0.4785,2.1193,0.8204,38.71,0.1129,0.6465,3.61114493053806,0.653,4.807268944053996,0,False,1.8541135283163543,1.0946197112377554,2,Creative Playmaker,0.9329558057596296,0.9735804624242436,0.2168658793128224,0.1721979831886191,22.0,0.0294,0.0,9.1,2.418,-209.2,0.46847720659553804,0.0,0.09252617988810785,0.2527,18,PASS,Does not meet acquisition criteria"
"Finn Azaz,ie IRL,MF,Middlesbrough,EFL Championship,23.0,3544,0.3047,0.2793,0.5841,3.1236,1.0158,32.52,0.0976,0.5982,3.26990715900168,0.6236,4.062336893760929,0,False,2.8067388735250884,1.996233248089056,2,Creative Playmaker,0.8408765708923516,0.9076289887719468,0.2341971295305174,0.1975372285539606,2.8,0.2136,12.2,11.6,0.241,69.2,0.0,0.2360025624599616,0.24401090230956812,0.1196,19,MONITOR,Developing profile — track for next window"
"Anis Hadj Moussa,dz ALG,FW,Feyenoord,Eredivisie,22.0,1969,0.3657,0.1371,0.5028,2.4225,0.9142,37.74,0.1509,0.5988,3.7007780433234334,0.4533,5.642297573423637,0,False,2.443093343200783,0.0164983844653595,2,Creative Playmaker,0.8562194324348691,0.6550726334873496,0.2127307417588692,0.1505503162040014,2.5,0.2395,12.5,13.9,0.18,77.0,0.005819592628516723,0.2691864189622037,0.12738488021804617,0.1091,20,MONITOR,Developing profile — track for next window"
